"kommun","year","kombef","flland","norden","afrika","asien","latam","europa_notnorden","flykt","nonOECD","nordam_oceanien"
114,1994,0,0,0,0,0,0,0,0,0,0
114,1996,0,0,0,0,0,0,0,0,0,0
114,1995,0,0,0,0,0,0,0,0,0,0
114,1992,0,0,0,0,0,0,0,0,0,0
114,1993,0,0,0,0,0,0,0,0,0,0
114,1991,0,0,0,0,0,0,0,0,0,0
114,1997,0,0,0,0,0,0,0,0,0,0
114,1990,0,0,0,0,0,0,0,0,0,0
114,1989,0,0,0,0,0,0,0,0,0,0
114,1988,0,0,0,0,0,0,0,0,0,0
114,1987,0,0,0,0,0,0,0,0,0,0
114,1986,0,0,0,0,0,0,0,0,0,0
114,1984,0,0,0,0,0,0,0,0,0,0
114,1985,0,0,0,0,0,0,0,0,0,0
114,1983,0,0,0,0,0,0,0,0,0,0
114,1982,0,0,0,0,0,0,0,0,0,0
114,1981,0,0,0,0,0,0,0,0,0,0
114,1998,0,0,0,0,0,0,0,0,0,0
115,1995,0,0,0,0,0,0,0,0,0,0
115,1994,0,0,0,0,0,0,0,0,0,0
115,1997,0,0,0,0,0,0,0,0,0,0
115,1996,0,0,0,0,0,0,0,0,0,0
115,1993,0,0,0,0,0,0,0,0,0,0
115,1992,0,0,0,0,0,0,0,0,0,0
115,1991,0,0,0,0,0,0,0,0,0,0
115,1990,0,0,0,0,0,0,0,0,0,0
115,1989,0,0,0,0,0,0,0,0,0,0
115,1988,0,0,0,0,0,0,0,0,0,0
115,1987,0,0,0,0,0,0,0,0,0,0
115,1986,0,0,0,0,0,0,0,0,0,0
115,1983,0,0,0,0,0,0,0,0,0,0
115,1984,0,0,0,0,0,0,0,0,0,0
115,1982,0,0,0,0,0,0,0,0,0,0
115,1985,0,0,0,0,0,0,0,0,0,0
115,1981,0,0,0,0,0,0,0,0,0,0
115,1998,0,0,0,0,0,0,0,0,0,0
117,1997,0,0,0,0,0,0,0,0,0,0
117,1996,0,0,0,0,0,0,0,0,0,0
117,1994,0,0,0,0,0,0,0,0,0,0
117,1995,0,0,0,0,0,0,0,0,0,0
117,1991,0,0,0,0,0,0,0,0,0,0
117,1992,0,0,0,0,0,0,0,0,0,0
117,1993,0,0,0,0,0,0,0,0,0,0
117,1990,0,0,0,0,0,0,0,0,0,0
117,1989,0,0,0,0,0,0,0,0,0,0
117,1988,0,0,0,0,0,0,0,0,0,0
117,1987,0,0,0,0,0,0,0,0,0,0
117,1986,0,0,0,0,0,0,0,0,0,0
117,1985,0,0,0,0,0,0,0,0,0,0
117,1982,0,0,0,0,0,0,0,0,0,0
117,1984,0,0,0,0,0,0,0,0,0,0
117,1983,0,0,0,0,0,0,0,0,0,0
117,1981,0,0,0,0,0,0,0,0,0,0
117,1998,0,0,0,0,0,0,0,0,0,0
120,1991,0,0,0,0,0,0,0,0,0,0
120,1992,0,0,0,0,0,0,0,0,0,0
120,1990,0,0,0,0,0,0,0,0,0,0
120,1993,0,0,0,0,0,0,0,0,0,0
120,1994,0,0,0,0,0,0,0,0,0,0
120,1989,0,0,0,0,0,0,0,0,0,0
120,1995,0,0,0,0,0,0,0,0,0,0
120,1997,0,0,0,0,0,0,0,0,0,0
120,1996,0,0,0,0,0,0,0,0,0,0
120,1988,0,0,0,0,0,0,0,0,0,0
120,1987,0,0,0,0,0,0,0,0,0,0
120,1986,0,0,0,0,0,0,0,0,0,0
120,1985,0,0,0,0,0,0,0,0,0,0
120,1981,0,0,0,0,0,0,0,0,0,0
120,1984,0,0,0,0,0,0,0,0,0,0
120,1982,0,0,0,0,0,0,0,0,0,0
120,1983,0,0,0,0,0,0,0,0,0,0
120,1998,0,0,0,0,0,0,0,0,0,0
123,1996,0,0,0,0,0,0,0,0,0,0
